Make,Model,Year,HP,Engine Size,Doors,Body Style,Seats,Drive Train,Fuel Type,Electric,Transmission,Price,Cylinders
Ford,Edge ST,2022,335,2.7,5,SUV,5,All Wheel ,Gas,No,Automatic,"46,000",V6
Ford,Explore ST,2022,400,3,5,SUV,5,All Wheel ,Gas,No,Automatic,"48,000",V6
Ford,Mustang MACH1,2022,470,5,2,Coupe,4,Rear Wheel,Gas,No,Manual,"70,000",6
Ford,F150 Raptor,2022,450,3.5,4,Truck,5,All Wheel ,Gas,No,Automatic,"70,000",V6
Ford,GT,2020,760,3.5,2,Coupe,2,Rear Wheel,Gas,No,Automatic,"500,000",V6
Ford,Escape,2022,181,1.5,5,SUV,5,Front Wheel,Gas,No,Automatic,"28,000",3
Ford,Bronco,2022,181,1.5,5,SUV,5,All wheel ,Gas,No,Automatic,"34,000",3
Ford,Exhibition,2022,400,3.5,4,SUV,5,Rear wheel,Gas,No,Automatic,"84,000",V6
Chevrolet,Camaro ZL1,2022,650,6.2,2,Coupe,4,Rear Wheel,Gas,No,Manual,"63,000",V8
Chevrolet,Spark,2022,98,1.4,4,Hatchback,5,Front Wheel,Gas,No,Automatic,"18,000",4
Chevrolet,Malibu,2022,250,2,4,Sedan,5,Front Wheel,Gas,No,Automatic,"33,500",4
Chevrolet,Corvette Stingray,2022,490,6.2,2,Coupe,2,Rear Wheel,Gas,No,Automatic,"60,000",V8
Chevrolet,Silverado 1500,2022,420,6.2,4,Truck,5,4 Wheel ,Gas,No,Automatic,"67,600",8
Chevrolet,Colorado ZR2,2022,308,3.6,4,Truck,5,4  Wheel,Gas ,No,Automatic,"42,000",V6
Chevrolet,TRAX LS,2022,155,1.4,4,SUV CrossOver,5,Front Wheel,Gas,No,Automatic,"21,400",4
Chevrolet,TrailBlazer,2022,155,1.3,4,SUV CrossOver,5,All Wheel ,Gas,No,Automatic,"27,200",V3
Tesla,Model S,2022,670,N/A,4,Sedan,5,All Wheel ,Electric,Yes,Automatic,"104,990",N/A
Toyota,Corolla LE,2019,132,1.8,4,Sedan,5,Front Wheel,Gas,No,Automatic,"22,173",4
Volkswagen,R32,2018,250,3.2,2,Hatchback,4,All Wheel ,Gas,No,Automatic,"35,000",VR6
Volkswagen ,Golf GTI,2008,200,2,2 or 4,Hatchback,5,Front Wheel,Gas,No,Both,"30,000",4
Toyota,Camry CE,2001,136,2.2,4,Sedan,5,Front Wheel,Gas,No,Automatic,"24,565",4
Tesla,Model 3,2022,480,N/A,4,Sedan,5,All Wheel ,Electric,Yes,Automatic,"76,990",N/A
Tesla,Model X,2022,670,N/A,4,SUV,6,All Wheel ,Electric,Yes,Automatic,"157,990",N/A
Toyota,Pruis,2022,120,1.8,4,Hatchback,5,Front Wheel,Hybrid,Yes,Automatic,"24,625",4
Tesla,Model Y,2022,480,N/A,5,Sport Utility Vehicle,7,All Wheel ,Electric,Yes,Automatic,"86,990",N/A
Toyota,Venza LE,2022,219,2.5,4,Small SUV,5,All Wheel ,Hybrid,Yes,Automatic,"39,150",4
Toyota,Sienna LE 8 Pass,2022,245,2.5,4,Minivan,8,Front Wheel,Hybrid,Yes,Automatic,"41,050",4
Toyota,Mirai XLE,2022,180,N/A,4,Sedan,5,Rear Wheel,Electric ,Yes,Automatic,"54,990",N/A
Volkswagen,Taos,2022,158,1.5,4,SUV,5,All Wheel ,Gas,No,Automatic,"26,695",4
Volkswagen,Jetta,2020,147,1.4,4,Sedan,5,Front Wheel,Gas,No,Both,"19,695",4
Volkswagen,Jetta,2018,150,1.4,4,Sedan,5,Front Wheel,Gas,No,Both,"22,245",4
Volkswagen,Jetta,2022,158,1.5,4,Sedan,5,Front Wheel,Gas,No,Both,"22,895",4
Volkswagen ,Jetta,2016,150,1.4,4,Sedan,5,Front Wheel,Gas,No,Both,"15,995",4
Mercedes,G-Class 550,2022,416,4,4,SUV,5,4 Wheel ,Gas,No,Automatic,"144,900",V8
Mercedes,GLE 350,2022,255,2,4,SUV,7,All Wheel ,Hybrid,Yes,Automatic,"56,150",4
Mercedes,GLE 450,2022,362,3,4,Coupe,5 or 7,All Wheel ,Hybrid,Yes,Automatic,"63,950",6
Mercedes,Maybach S Class,2022,496,4,4,Luxury Sedan,5 or 4,All Wheel ,Hybrid,Yes,Automatic,"184,900",V8
Mercedes,AMG E-Class,2022,362,3,2,Cabriolet,4,All Wheel ,Hybrid,Yes,Automatic,"91,000",6
BMW,4-series,2022,255,2,2,Cabriolet,4,All Wheel ,Gas,No,Both,"62,100",4
BMW,X1,2022,228,2,4,Sport Utility Vehicle,5,Front Wheel,Gas,No,Both,"44,990",4
BMW,X2,2022,302,2,4,Sport Utility Vehicle,5,All Wheel ,Gas,No,Both,"43,275",4
BMW ,X3,2022,248,2,4,Sport Utility Vehicle,5,Rear Wheel,Gas,No,Both,"52,990",4
BMW,X4,2022,248,2,4,Sport Utility Vehicle,5,All Wheel ,Gas,No,Both,"56,500",4
BMW,X5,2022,335,3,4,Sport Utility Vehicle,5,All Wheel ,Gas,No,Both,"79,100",6
BMW,M4 CSL,2022,543,3,2,Coupe,2,All Wheel ,Gas,No,Both,"166,500",6
Honda,Civic LX,2022,158,2,4,Sedan,5,Front Wheel,Gas,No,Automatic,"22,550",4
Honda,Civic Touring,2022,180,1.5,4,Sedan,5,Front Wheel,Gas,No,Automatic,"29,150",4
Honda ,Civic Si,2022,200,1.5,4,Sedan,5,Front Wheel,Gas,No,Manual,"27,500",4
Honda,Accord LX,2022,192,1.5,4,Sedan,5,Front Wheel,Gas,No,Automatic,"26,520",4
Honda,Accord Touring,2022,252,2,4,Sedan,5,Front Wheel,Gas,No,Automatic,"38,450",4
Honda,Type R Limited,2021,306,2,4,Hatchback,5,Front Wheel,Hybrid,Yes,Manual,"43,995",4
Honda,Accord Hybrid Base,2022,212,2,4,Sedan,5,Front Wheel,Hybrid,Yes,Automatic,"27,720",4
Honda ,Accord Hybrid Touring,2022,212,2,4,Sedan,5,Front Wheel,Gas,No,Automatic,"37,590",4
Acura,TLX Base,2022,272,2,4,Sedan,5,Front Wheel,Gas,No,Automatic,"38,900",4
Acura,TLX SH,2022,272,2,4,Sedan,5,All Wheel ,Gas,No,Automatic,"49,900",4
Acura,TLX Type S,2022,355,3,4,Sedan,5,All Wheel ,Gas,No,Automatic,"53,700",6
Acura,NSX Type S,2022,600,3.5,2,Coupe,2,All Wheel ,Gas,No,Automatic,"169,500",6
Acura,Integra ,2023,200,2,4,Hatchback,5,Front Wheel,Gas,No,Automatic,"30,800",4
Acura,ILX ,2022,201,2.4,4,Sedan,5,Front Wheel,Gas,No,Automatic,"33,200",4
Subaru,BRZ,2023,228,2.4,2,Coupe,4,Rear Wheel,Gas,No,Automatic/Manual,"28,595",4
Subaru,Impreza Base,2022,152,2,4,Sedan,5,All Wheel ,Gas,No,Manual,"19,292",4
Subaru,WRX Base,2022,271,2.4,4,Sedan,5,All Wheel ,Gas,No,Manual,"29,605",4
Subaru,WRX STI,2022,310,2.5,4,Sedan,5,All Wheel ,Gas,No,Manual,"37,245",4
Subaru,Crosstrek,2023,152,2,4,SUV,5,All Wheel ,Gas,No,Manual,"23,645",4
Subaru,Crosstrek Hybrid,2023,148,2,4,SUV,5,All Wheel ,Hybrid,Yes,Automatic,"36,845",4
Subaru,Outback,2022,182,2.5,4,SUV,5,All Wheel ,Gas,No,Automatic,"27,645",4
Subaru,Outback,2022,260,2.4,4,SUV,5,All Wheel ,Gas,No,Automatic,"38,695",4
Chevrolet,Camaro ZL1,1969,500,7,2,Coupe,4,Rear Wheel,Gas,No,Manual,"159,500",V8
Ferrari,F8 Spider,2022,710,3.9,2,Luxury Coupe,2,Rear Wheel,Gas,No,Automatic,"283,950",V8
Ferrari,250 GTO,1963,300,3,2,Luxury Coupe,2,Rear Wheel,Gas,No,Manual,"2,000,000",V12
Toyota,Camry LE,2022,203,2.5,2,Sedan,5,Front Wheel,Gas,No,Automatic,"27,750",4
Ferrari,296 GTB,2022,818,3,2,Luxury Coupe,2,Rear Wheel,Hybrid,Yes,Automatic,"317,986",V6
